89994ea4292876da5cdf7cbaa762ec01;df539fa1affd4aecb6420ac53b3d26b3;monument_location;Loggia del Bigallo;FIRENZE;PIAZZA SAN GIOVANNI;PIAZZA DI SAN GIOVANNI;RT04801701953TO;43.772808;11.255097; 1429178902710
8a24a375392713697a1d1a53fdb23d2b;3b4e4639c84448d98ee4a929dd0bbce4;monument_location;Cosimo I;FIRENZE;PIAZZALE DEGLI UFFIZI;PIAZZALE DEGLI UFFIZI;RT04801702025TO;43.768467;11.255638; 1429091270276
8d68b338f42ac07c635b458ab995105c;ccb4213ccbbc4ef1b6ed1e1d6470a518;monument_location;Monumento equestre a Cosimo I;FIRENZE;PUNTO SIGNORIA;PIAZZA DELLA SIGNORIA;RT04801701941TO;43.769459;11.255496; 1429176781091
8e6afb5a6b96e99cfd057449d465bedf;dc1f11fa14d24f80832a4b30d39947a1;monument_location;Badia fiorentina ed Bargello;FIRENZE;VIA DEL PROCONSOLO;VIA DEL PROCONSOLO;RT04801702583TO;43.770363;11.257781; 1429178863065
983e11cb55c8f09ca17dbecdb74fd35f;853b1b4a0f494fe5aecf66a4424d44cb;monument_location;Veduta panoramica di Firenze in direzione sud;FIRENZE;VIA DI MONTUGHI;VIA DI MONTUGHI;RT04801702817TO;43.796112;11.257356; 1429093680877
9a9fcded2362b7bdfe7dfb66ac60fb28;ea544c455f864fe9a4dfb6a0afdb81d0;monument_location;Collezione Contini Bonacossi;FIRENZE;VIA LAMBERTESCA;VIA LAMBERTESCA;RT04801703234TO;43.768635;11.254966; 1429179034527
a717d55a5fc8e19ce5560dfaf3e78c9d;99b232d7ef0944d78953d2516a4b1c7a;monument_location;"L Arno all altezza della Pescaia di S. Niccol&ograve;";FIRENZE;LUNGARNO DELLA ZECCA VECCHIA;LUNGARNO BENVENUTO CELLINI;RT04801701876TO;43.76553;11.266991; 1429093836667
a9a3ebc259ff3b3cd60857bef899972d;8aa7d37858d94488aa7739380c009995;monument_location;L Arno verso monte dal Ponte alla Carraia;FIRENZE;LUNGARNO GUICCIARDINI;LUNGARNO GUICCIARDINI;RT04801701889TO;43.769203;11.248237; 1429093726964
afa3acd96741349d3a3ae70bd1baf9f7;4705f37b564b4220b3dd2c09d6759245;monument_location;Medaglioni Della Robbia;FIRENZE;PIAZZA DELLA SANTISSIMA ANNUNZIATA;PIAZZA DELLA SANTISSIMA ANNUNZIATA;RT04801702013TO;43.776344;11.26097; 1429091408868
b7831f6912125a32358539f56f5e5b85;f41891371e954172b91094dd277d7071;monument_location;Cripta della Certosa del Galluzzo;FIRENZE;VIA DELLA CERTOSA;VIA DELLA CERTOSA;RT04801708482TO;43.730637;11.221606; 1429181892730
c3f2fe0904338777ddacdc97d2b90610;5f5c8ef4de46412285d2c23133200fa9;monument_location;Venere inginocchiata che si asciuga;FIRENZE;VIA DÈ BENCI;VIA DEI BENCI;RT04801702322TO;43.767509;11.259401; 1429092431754
c3f3ae74a7f58925d50d275db4ba38eb;fc99559949be4e788b80c93f4ea86afc;monument_location;Appennino;FIRENZE;VIA DEL PROCONSOLO;VIA DEL PROCONSOLO;RT04801702583TO;43.770416;11.257896; 1429182821798
c6d925de83b6a667c13599e4b8f1b072;3a6c6018620b42f39d7f722accb8f7ff;monument_location;Cenacolo di Sant Apollonia;FIRENZE;VIA DELLA NINNA;VIA DELLA NINNA;RT04801702671TO;43.76873;11.256901; 1429091262265
cc3c91f7a78d3ad9ab12f7972116d62c;88517808e76a4254b4e0aa995d81e837;monument_location;Ercole e l Idra;FIRENZE;PIAZZA DELLA SIGNORIA;PIAZZA DELLA SIGNORIA;RT04801701941TO;43.769333;11.255957; 1429093706192
ceaa81eefe57458e883f68c96faf993c;87cb654b2ad04b50bcc1b46ec795a86a;monument_location;Terrazzo di Saturno;FIRENZE;VIA DELLA NINNA;VIA DELLA NINNA;RT04801702671TO;43.769165;11.256166; 1429093702946
cefdf5d5284fef2b9128be571be579b9;ef1a61eeef15486392d9c153bfa19f7c;monument_location;Perseo;FIRENZE;VIA VACCHERECCIA;VIA VACCHERECCIA;RT04801703648TO;43.769211;11.255748; 1429181867764
d4e1b445e904ac59e39149ae318b51d5;8537c1c3aae44650920cbe414482ee7d;monument_location;Tribuna;FIRENZE;PIAZZALE DEGLI UFFIZI;PIAZZALE DEGLI UFFIZI;RT04801702025TO;43.768126;11.255621; 1429093680227
d5f49108ef0aba627d16f39d9c9f2be1;4ac131b7970a46439393075fbb0fc534;monument_location;Ratto delle Sabine;FIRENZE;VIA VACCHERECCIA;VIA VACCHERECCIA;RT04801703648TO;43.769287;11.255531; 1429091438509
d669ece6e2be573743a96a94f5639909;6dd32cb16f8246f59c357fb24e139b0b;monument_location;Firenze che vince Pisa;FIRENZE;VIA DEL PROCONSOLO;VIA DEL PROCONSOLO;RT04801702583TO;43.770416;11.257969; 1429092647525
d8049c7d536074994a64e6867c083872;37fa576743f54a339e4ed79e76ced5ad;monument_location;Ratto delle Sabine;FIRENZE;VIA VACCHERECCIA;VIA VACCHERECCIA;RT04801703648TO;43.769245;11.255606; 1429091240634
dca440d102860fc0f170f42f5e9bff70;7b70463dc73141698e2054daae798f58;monument_location;Ercole e il Centauro;FIRENZE;VIA VACCHERECCIA;VIA VACCHERECCIA;RT04801703648TO;43.769295;11.255442; 1429093602333
dd42ebd9d315ecff4fede0386b289a55;7665872c831641b5bc0acf27c7c7e62b;monument_location;Salone dei Cinquecento;FIRENZE;PIAZZA DELLA SIGNORIA;PIAZZA DELLA SIGNORIA;RT04801701941TO;43.769488;11.256128; 1429092779229
e5afcd17a118ade38e4344f92aed43cf;30725775ed6944e086a9c80db9402bd9;monument_location;Colonna della Dovizia;FIRENZE;PIAZZA DELLA REPUBBLICA;PIAZZA DELLA REPUBBLICA;RT04801701940TO;43.771526;11.254275; 1429091163727
f9743bdfe90fe009c1766e03f4b6033a;113b5b2c71fa4d2b9a25ac8358359a5a;monument_location;Via dei Servi;FIRENZE;VIA DEI SERVI;VIA DEI SERVI;RT04801702447TO;43.773849;11.25755; 1429090011877
f9e3c771778ea3fe52318791ce376e0b;ff39f3d7958946d19515ee20a34f4b05;monument_location;Loggetta dei Tornaquinci;FIRENZE;VIA DÈ TORNABUONI;VIA DEI TORNABUONI;RT04801702380TO;43.772232;11.251416; 1429182877009
fd424cc42adf7564e9a5be1fd35a7eb4;e24ac599af074bd6a60ab0c0a61157b9;monument_location;Mercurio in volo;FIRENZE;VIA DEL PROCONSOLO;VIA DEL PROCONSOLO;RT04801702583TO;43.770512;11.257974; 1429178945327
