fotovoltaici.1-VIA DEL TERZOLLE-50127-FIRENZE-91-RT04801702603TO-43.7961779143-11.237147702-Impianto fotovoltaico ITI LEONARDO DA VINCI-15,8 kW-FI-a04ff07a88bd34e7cbacf18a392469c6-Photovoltaic_system-Private_professional_institute
fotovoltaici.10-VIA DEL PONTORMO-50141-FIRENZE-90-RT04801702576TO-43.8165994082-11.2286252504-"Impianto fotovoltaico PLESSO SCOLASTICO ""CADORNA"""-20,04 kW-FI-8aa8c7757b598a652a2c7082bd8d8c6b-Photovoltaic_system-Public_junior_school
fotovoltaici.11-VIUZZO DELLA CAVALLA-50145-FIRENZE-1-RT04801703817TO-43.7951023283-11.195181485-"Impianto fotovoltaico PLESSO SCOLASTICO ""BALDUCCI"""-3,06 kW-FI-ff0f8017fbb08c328e3d8b8e03977bec-Photovoltaic_system-Public_junior_school
fotovoltaici.12-VIALE GIOVAN BATTISTA MORGAGNI-50134-FIRENZE-32-RT04801703083TO-43.79986027-11.2446313284-"Impianto fotovoltaico PLESSO SCOLASTICO ""POLIZIANO"""-3,06 kW-FI-8ca7dfba4016f25b7dab7cd77e999e26-Photovoltaic_system-Public_junior_high_school
fotovoltaici.2-VIA SVIZZERA-50126-FIRENZE-3-RT04801703614TO-43.7609183912-11.3018342157-"Impianto fotovoltaico PLESSO SCOLASTICO ""KASSEL"""-9,3 kW-FI-f39adb643a426fad2e23149a4411586f-Photovoltaic_system-Public_junior_high_school
fotovoltaici.3-VIA GRAN BRETAGNA-50126-FIRENZE-58-RT04801703181TO-43.7600425824-11.2935343923-"Impianto fotovoltaico PLESSO SCOLASTICO ""BOTTICELLI"""-4,65 kW-FI-9d1ef69ff418c0f9525fa3f4afa1069c-Photovoltaic_system-Public_junior_high_school
fotovoltaici.4-VIA GIULIANO BUGIARDINI-50143-FIRENZE-25-RT04801703140TO-43.7676740912-11.1953660575-"Impianto fotovoltaico PLESSO SCOLASTICO ""BECHI"""-4,65 kW-FI-b1edb0d2f41e8fab2d494dd1bb1c3617-Photovoltaic_system-Public_junior_school
