fotovoltaici.7|PIAZZA LORENZO GHIBERTI|50122|FIRENZE||RT04801701986TO|43.7702223596|11.2669331991|Impianto fotovoltaico RICARICA MOTORINI ELETTRICI|2,1 kW|FI|charging_stations_44|Photovoltaic_system|Charging_stations
fotovoltaici.9|PIAZZA DELLA LIBERTA'|50129|FIRENZE||RT04801701938TO|43.7852350473|11.2623781056|Impianto fotovoltaico RICARICA MOTORINI ELETTRICI|1,7 kW|FI|charging_stations_15|Photovoltaic_system|Charging_stations
